ciudad;ingpc;empleo;desempleo
10150;672.3333333;1;
10150;672.3333333;1;
10150;672.3333333;;
10150;243.3333333;1;
10150;243.3333333;1;
10150;243.3333333;;
10150;77.4;1;
10150;77.4;;
10150;77.4;;
10150;77.4;;
10150;77.4;;
10150;89;;
10150;89;1;
10150;548;1;
10150;548;1;
10150;548;;
10150;85;1;
10150;85;1;
10150;85;;1
10150;205.8;1;
10150;205.8;;
10150;205.8;1;
10150;205.8;;
10150;205.8;;
10150;162.6666667;1;
10150;162.6666667;;
10150;162.6666667;;
10150;1083.333333;;
10150;1083.333333;1;
10150;1083.333333;1;
10150;150;1;
10150;150;;
10150;685.5;1;
10150;685.5;1;
10150;143.3333333;1;
10150;143.3333333;1;
10150;143.3333333;;
10150;212.5;;
10150;212.5;;
10150;212.5;;1
10150;212.5;;
10150;274.3333333;1;
10150;274.3333333;;
10150;274.3333333;;
10150;1380;;
10150;1380;1;
10150;625;1;
10150;655;1;
10150;655;;
10150;655;1;
10150;655;;
10150;655;;
10150;87;1;
10150;87;;
10150;87;;
10150;87;;
10150;87;;
10150;388.3333333;1;
10150;388.3333333;1;
10150;388.3333333;1;
10150;388.3333333;1;
10150;388.3333333;1;
10150;388.3333333;;
10150;304.3333333;;
10150;304.3333333;1;
10150;304.3333333;;
10150;615;1;
10150;402;1;
10150;178.3333333;1;
10150;178.3333333;;
10150;178.3333333;;
10150;325.3333333;1;
10150;325.3333333;1;
10150;325.3333333;;
10150;211.3333333;1;
10150;211.3333333;1;
10150;211.3333333;;
10150;379.5;1;
10150;379.5;1;
10150;102;1;
10150;102;;
10150;102;;
10150;102;;
10150;102;;
10150;102;;
10150;418.3333333;1;
10150;418.3333333;;
10150;418.3333333;1;
10150;606.25;1;
10150;606.25;1;
10150;606.25;1;
10150;606.25;1;
10150;254;1;
10150;275;1;
10150;275;1;
10150;275;1;
10150;275;1;
10150;275;;
10150;155;;1
10150;155;;
10150;155;;
10150;155;;
10150;124.375;1;
10150;124.375;;
10150;124.375;1;
10150;124.375;;
10150;124.375;;
10150;124.375;1;
10150;124.375;;
10150;124.375;;
10150;132.6666667;1;
10150;132.6666667;1;
10150;132.6666667;;
10150;132.6666667;1;
10150;132.6666667;;
10150;132.6666667;;
10150;300;;
10150;300;1;
10150;300;;
10150;610;1;
10150;870;1;
10150;870;1;
10150;363;1;
10150;363;;
10150;482.5;;
10150;482.5;;
10150;482.5;1;
10150;482.5;1;
10150;1089.5;1;
10150;1089.5;1;
10150;1089.5;;
10150;1089.5;1;
10150;460;1;
10150;460;1;
10150;460;1;
10150;460;;
10150;267.2;;
10150;267.2;1;
10150;267.2;;
10150;267.2;;
10150;267.2;;
10150;886;1;
10150;173.25;1;
10150;173.25;;
10150;173.25;;
10150;173.25;;
10150;79.66666667;1;
10150;79.66666667;;1
10150;79.66666667;;
10150;79.66666667;;
10150;79.66666667;;
10150;79.66666667;;
10150;102.5;1;
10150;102.5;1;
10150;257;;
10150;257;1;
10150;257;;
10150;257;;
10150;67.33333333;;
10150;67.33333333;1;
10150;67.33333333;;
10150;279;1;
10150;279;1;
10150;279;1;
10150;279;;
10150;279;;
10150;283.4285714;1;
10150;283.4285714;1;
10150;283.4285714;1;
10150;283.4285714;;
10150;283.4285714;1;
10150;283.4285714;1;
10150;283.4285714;;
10150;453.25;;
10150;453.25;;
10150;453.25;1;
10150;453.25;1;
10150;1118.333333;1;
10150;1118.333333;;
10150;1118.333333;;1
10150;410;1;
10150;268.25;1;
10150;268.25;;
10150;268.25;;
10150;268.25;;
10150;343.3333333;1;
10150;343.3333333;;
10150;343.3333333;;
10150;648;1;
10150;266.6666667;1;
10150;266.6666667;1;
10150;266.6666667;;
10150;430;1;
10150;430;;
10150;430;1;
10150;430;1;
10150;950;;
10150;950;;
10150;162.5;1;
10150;162.5;;
10150;162.5;;
10150;162.5;;1
