ciudad;ingreso_pensiones;salud;educacion
10150; ; ; 
10150; ; ; 
10150; ;5;8
10150;800;4;5
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;0;5
10150; ; ; 
10150; ;5;5
10150; ;5;5
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;3;8
10150; ; ; 
10150; ; ; 
10150; ;5;5
10150;700; ; 
10150; ;6;5
10150;300; ; 
10150; ;3;5
10150;338;4;99
10150;374; ; 
10150; ; ; 
10150;700;8;8
10150;600; ; 
10150;240;99;5
10150; ; ; 
10150; ; ; 
10150; ;5;6
10150; ; ; 
10150; ; ; 
10150;650; ; 
10150; ;4;7
10150; ;6;8
10150; ;4;8
10150;280;0;8
10150;120; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;5;9
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150;279;5;3
10150; ; ; 
10150; ; ; 
10150;400;7;99
10150; ;2;2
10150; ;2;6
10150; ; ; 
10150; ; ; 
10150; ;1;5
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;5;8
10150; ; ; 
10150; ; ; 
10150; ;2;5
10150; ; ; 
10150; ; ; 
10150;700;5;99
10150;250; ; 
10150;100;3;5
10150; ; ; 
10150; ; ; 
10150;350;4;4
10150; ; ; 
10150; ; ; 
10150; ;8;9
10150; ; ; 
10150; ;2;7
10150; ; ; 
10150; ;7;7
10150; ; ; 
10150; ; ; 
10150; ;5;7
10150; ; ; 
10150; ;7;4
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;1;2
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;6;3
10150; ; ; 
10150; ;99;1
10150; ; ; 
10150; ;2;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;99;9
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;4;7
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;3;5
10150; ; ; 
10150; ; ; 
10150; ;3;5
10150; ; ; 
10150; ; ; 
10150; ;2;7
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150;140;3;7
10150;600;3;7
10150; ; ; 
10150; ; ; 
10150; ;2;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;7;6
10150;1800;6;6
10150;520; ; 
10150; ;5;6
10150; ; ; 
10150; ;4;8
10150; ; ; 
10150; ; ; 
10150; ;2;5
10150; ; ; 
10150;321; ; 
10150;316;5;2
10150; ;3;4
10150; ; ; 
10150; ; ; 
10150; ;5;3
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;3;4
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;5;6
10150; ; ; 
10150; ;9;7
10150; ; ; 
10150; ; ; 
10150; ;4;4
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;6;5
10150; ; ; 
10150; ;5;8
10150; ; ; 
10150; ;7;7
10150; ; ; 
10150; ;4;5
10150; ; ; 
10150; ;2;4
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150;400; ; 
10150;200;6;8
10150; ;4;6
10150; ; ; 
10150; ; ; 
10150; ;6;7
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150;686; ; 
10150; ; ; 
10150; ;6;7
10150; ;3;8
10150; ; ; 
10150; ;3;8
10150; ; ; 
10150; ;8;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150;2000;7;6
10150;800; ; 
10150;1500;3;7
10150;1200; ; 
10150; ;5;5
10150; ; ; 
10150; ;3;99
10150;600; ; 
10150; ;6;7
10150; ; ; 
10150; ;3;7
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;6;9
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150;300;5;7
10150;400; ; 
10150;300;3;9
10150; ; ; 
10150; ;4;9
10150; ; ; 
10150; ;4;9
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;2;6
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;4;4
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;0;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;5;8
10150; ; ; 
10150; ; ; 
10150; ;5;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;1;3
10150;425; ; 
10150; ; ; 
10150; ;2;5
10150; ; ; 
10150; ;3;7
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;8;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;3;7
10150; ; ; 
10150; ; ; 
10150; ;5;2
10150; ; ; 
10150; ;4;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;4;5
10150; ;5;7
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;7;8
10150; ;6;9
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;2;8
10150; ; ; 
10150; ;6;8
10150; ; ; 
10150;150;2;3
10150; ; ; 
10150; ;5;6
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;3;7
10150; ; ; 
10150; ; ; 
10150; ;3;4
10150; ;5;6
10150; ; ; 
10150; ;5;3
10150; ; ; 
10150; ; ; 
10150; ;6;10
10150; ; ; 
10150; ;5;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;4;6
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;7;8
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;4;5
10150; ; ; 
10150;1100;5;8
10150;365; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ; ; 
10150; ;6;7
10150; ;99;99
10150;500; ; 
10150;440;5;7
10150;166; ; 
10150; ; ; 
10150; ; ; 
10150; ;3;5
10150; ; ; 
10150; ; ; 
